Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,556.1,558.6,11122,11171,2.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,570.25,575.2,11405,11503,4.95
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,579.4,581.2,11588,11623,1.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,583.7,584.1,11674,11681,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,586,587.7,11720,11753,1.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,being_approached,588.35,590.8,11767,11815,2.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,6.4,8.85,128,176,2.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,14.2,15.65,284,312,1.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,19.45,21.15,389,422,1.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,29.35,30.45,587,608,1.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,32.05,33.7,641,673,1.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,34.15,35.3,683,705,1.15
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,36.15,36.8,723,735,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,41.3,43,826,859,1.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,54.8,55.85,1096,1116,1.05
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,64.15,66.15,1283,1322,2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,69.25,73.75,1385,1474,4.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,78.1,79.5,1562,1589,1.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,84.65,87.4,1693,1747,2.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,88.65,89.3,1773,1785,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,90.05,90.9,1801,1817,0.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,91.5,92.25,1830,1844,0.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,127.6,129,2552,2579,1.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,129.4,129.85,2588,2596,0.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,131.1,132.75,2622,2654,1.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,133.35,134.45,2667,2688,1.1
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,138.3,138.65,2766,2772,0.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,158.8,159.2,3176,3183,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,166.2,166.7,3324,3333,0.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,171.45,172.8,3429,3455,1.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,174.55,174.9,3491,3497,0.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,175.55,179.15,3511,3582,3.6
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,190.35,190.85,3807,3816,0.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,194.95,195.35,3899,3906,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,196.2,201.1,3924,4021,4.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,204.8,206.55,4096,4130,1.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,210.6,212.5,4212,4249,1.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,235.35,235.7,4707,4713,0.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,241.35,242.55,4827,4850,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,243.85,245.2,4877,4903,1.35
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,256.3,257,5126,5139,0.7
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,261.05,261.55,5221,5230,0.5
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,263.95,264.8,5279,5295,0.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,275.65,276.55,5513,5530,0.9
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,283.15,284.4,5663,5687,1.25
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,289.7,290.5,5794,5809,0.8
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,300,300.75,6000,6014,0.75
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,303.6,305.05,6072,6100,1.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,324.8,325.2,6496,6503,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,327.25,327.7,6545,6553,0.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,344.3,344.95,6886,6898,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,348.6,349.25,6972,6984,0.65
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,353.9,354.3,7078,7085,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,360.9,361.75,7218,7234,0.85
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,363.05,363.45,7261,7268,0.4
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,378.45,381.6,7569,7631,3.15
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,393.9,394.35,7878,7886,0.45
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,395.9,397.1,7918,7941,1.2
Dual_FP-210216-102345_1198-none-231203-163300_Cam2_clipped_04m_12s_cropped,interact,398.6,404.2,7972,8083,5.6
